Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
bibasilar subsegmental-segmental atelectasis .,,,,,,,,,1,,,,,
"bibasilar subsegmental-sized opacities likely represent atelectasis , less likely consolidation .",,,,,1,,1,,1,,,,,
"bilateral , diffuse interstitial and alveolar lung edema is present .",,,,,,1,,,,,,,,
"bilateral , diffuse lung consolidation is present , consistent with acute lung injury edema .",,,,,,1,1,,,,,,,
"bilateral , left greater than right , hazy parenchymal opacities , likely represents pulmonary edema .",,,,,1,1,,,,,,,,
bilateral atelectasis versus edema versus pneumonia .,,,,,,-1,,-1,-1,,,,,
bilateral basilar atelectasis versus ground-glass opacities or consolidation .,,,,,-1,,-1,,-1,,,,,
bilateral basilar predominant parenchymal opacities likely represent consolidation .,,,,,1,,1,,,,,,,
bilateral chest tubes are noted .,1,,,,,,,,,,,,,1
"bilateral consolidation , ground-glass opacities , or edema .",,,,,-1,-1,-1,,,,,,,
bilateral consolidative opacities are present .,,,,,1,,1,,,,,,,
bilateral consolidative parenchymal opacities .,,,,,1,,1,,,,,,,
"bilateral diffuse lung consolidation is present , consistent with lung edema .",,,,,,1,1,,,,,,,
"bilateral edema , consolidation , ground-glass opacities .",,,,,1,1,1,,,,,,,
"bilateral edema , ground-glass opacities , or consolidation .",,,,,-1,-1,-1,,,,,,,
"bilateral edema , ground-glass opacities , or infection .",,,,,-1,-1,,-1,,,,,,
bilateral edema and / or ground-glass opacities .,,,,,-1,1,,,,,,,,
bilateral edema versus ground-glass opacities .,,,,,1,-1,,,,,,,,
bilateral effusions .,,,,,,,,,,,1,,,
bilateral effusions and possible mild pulmonary edema .,,,,,,-1,,,,,1,,,
bilateral effusions with adjacent atelectasis .,,,,,,,,,1,,1,,,
bilateral effusions with probable adjacent atelectasis .,,,,,,,,,-1,,1,,,
bilateral enlarged hilum likely due to enlarged pulmonary arteries .,1,,,,,,,,,,,,,
bilateral generators with cranially directed leads .,1,,,,,,,,,,,,,
bilateral ground-glass and / or reticular opacities .,,,,,-1,,,,,,,,,
"bilateral ground-glass opacities , consolidation , or edema .",,,,,-1,-1,-1,,,,,,,
bilateral ground-glass opacities and / or edema .,,,,,1,-1,,,,,,,,
bilateral ground-glass opacities or edema .,,,,,-1,-1,,,,,,,,
bilateral hazy parenchymal opacities .,,,,,1,,,,,,,,,
bilateral hazy parenchymal opacities and consolidative opacity in the right upper lung .,,,,,1,,1,,,,,,,
bilateral hazy parenchymal opacities may represent consolidation or edema .,,,,,1,-1,-1,,,,,,,
bilateral hilar enlargement is likely due to enlarged pulmonary arteries .,1,,,,,,,,,,,,,
bilateral hilar enlargement is likely present .,1,,,,,,,,,,,,,
bilateral hilar enlargement likely represents lymphadenopathy .,1,,,,,,,,,,,,,
bilateral hilar enlargement likely secondary to enlarged pulmonary arteries and pulmonary hypertension .,,,,,,,,,,,,,,
bilateral ij central venous catheters with tips projecting over the superior svc .,1,,,,,,,,,,,,,1
bilateral infrahilar ground-glass opacities likely represent subsegmental atelectasis .,,,,,1,,,,1,,,,,
bilateral infrahilar opacities likely represent atelectasis .,,,,,1,,,,1,,,,,
bilateral infrahilar parenchymal opacities may represent aspiration or consolidation .,,,,,1,,-1,,,,,,,
bilateral interstitial lung edema is present .,,,,,1,1,,,,,,,,
bilateral layering pleural effusions .,,,,,,,,,,,1,,,
bilateral layering pleural effusions and bibasilar consolidation or atelectasis .,,,,,,,1,,-1,,1,,,
bilateral left and right jugular vein catheters are present .,1,,,,,,,,,,,,,1
"bilateral linear opacities , maybe due to fibrosing interstitial lung disease .",,,,,1,,,,,,,,,
bilateral linear opacities are favored to represent interstitial pulmonary edema .,,,,,1,1,,,,,,,,
"bilateral mediastinal contour abnormalities are present , consistent with distended right brachiocephalic and left subclavian arteries .",,1,,,,,,,,,,,,
bilateral multifocal parenchymal opacities .,,,,,1,,,,,,,,,
bilateral nodular opacities may represent septic emboli or pulmonary metastasis .,,,,1,1,,,,,,,,,
bilateral opacities maybe due to effusions with superimposed atelectasis versus consolidation .,,,,,1,,-1,,-1,,1,,,
"bilateral parenchymal opacities are present within the mid and lower lung bases , particularly on the right .",,,,,1,,,,,,,,,
bilateral parenchymal opacities may represent edema or areas of atelectasis .,,,,,1,-1,,,-1,,,,,
bilateral parenchymal opacities may represent edema or ground-glass opacity .,,,,,1,-1,,,,,,,,
"bilateral patchy and reticular parenchymal opacities , basilar predominant .",,,,,1,,,,,,,,,
bilateral patchy and reticular parenchymal opacities .,,,,,1,,,,,,,,,
bilateral patchy consolidation and ground-glass opacities .,,,,,1,,1,,,,,,,
bilateral patchy ground-glass opacities .,,,,,1,,,,,,,,,
bilateral patchy opacities consistent with consolidation or pulmonary edema .,,,,,1,-1,-1,,,,,,,
"bilateral patchy parenchymal opacities , compatible with consolidation .",,,,,1,,1,,,,,,,
"bilateral patchy perihilar opacities , right greater than left , consistent with pulmonary edema or consolidation .",,,,,1,-1,-1,,,,,,,
bilateral peribronchial cuffing consistent with pulmonary edema .,,,,,,1,,,,,,,,
"bilateral peribronchial cuffing versus airwall thickening , pulmonary edema versus bronchial inflammation .",,,,,-1,-1,,,,,,,,
bilateral peribronchial thickening and subpleural reticular opacities .,,,,,1,,,,,,,,,
bilateral peribronchial thickening consistent with pulmonary edema .,,,,,1,1,,,,,,,,
bilateral perihilar and basilar ground-glass opacities .,,,,,1,,,,,,,,,
bilateral perihilar ground-glass opacities .,,,,,1,,,,,,,,,
bilateral perihilar peribronchial thickening and streaky opacities .,,,,,1,,,,,,,,,
"bilateral peripheral linear opacities , maybe due to fibrosing interstitial lung disease .",,,,,1,,,,,,,,,
bilateral peripheral reticular opacities maybe due to interstitial lung disease .,,,,,1,,,,,,,,,
"bilateral pleural effusions , left greater than right .",,,,,,,,,,,1,,,
"bilateral pleural effusions , right greater than left .",,,,,,,,,,,1,,,
bilateral pleural effusions .,,,,,,,,,,,1,,,
bilateral pleural effusions and patchy bilateral lower lobe consolidation .,,,,,,,1,,,,1,,,
bilateral pleural effusions and pulmonary opacities .,,,,,1,,,,,,1,,,
bilateral pleural effusions are noted .,,,,,,,,,,,1,,,
bilateral pleural effusions are present .,,,,,,,,,,,1,,,
bilateral pleural effusions noted .,,,,,,,,,,,1,,,
"bilateral pleural effusions with adjacent atelectasis , compromising evaluation of the mediastinum .",,1,,,,,,,1,,1,,,
bilateral pleural effusions with adjacent atelectasis .,,,,,,,,,1,,1,,,
bilateral pleural effusions with probable adjacent atelectasis .,,,,,,,,,-1,,1,,,
"bilateral pleural effusions with superimposed atelectasis , consolidation , or ground-glass opacities .",,,,,-1,,-1,,-1,,1,,,
"bilateral pleural effusions with superimposed atelectasis , ground-glass opacities , or consolidation .",,,,,-1,,-1,,-1,,1,,,
"bilateral pleural effusions with superimposed atelectasis , ground-glass opacities , or edema .",,,,,-1,-1,,,-1,,1,,,
bilateral pleural effusions with superimposed atelectasis or consolidation .,,,,,,,-1,,-1,,1,,,
"bilateral pleural effusions with superimposed atelectasis versus consolidation , silhouetting the heart .",,,1,,,,-1,,-1,,1,,,
bilateral pleural effusions with superimposed atelectasis versus consolidation .,,,,,,,-1,,-1,,1,,,
bilateral pleural effusions with superimposed atelectasis versus consolidation and ground-glass opacities .,,,,,1,,-1,,-1,,1,,,
bilateral pleural effusions with superimposed atelectasis versus edema .,,,,,,-1,,,-1,,1,,,
bilateral pleural effusions with superimposed atelectasis versus ground-glass opacities / edema .,,,,,-1,1,,,-1,,1,,,
"bilateral pleural effusions with superimposed atelectasis versus pneumonia , obscuring cardiac silhouette .",,,0,,,,,-1,-1,,-1,,,
bilateral pleural effusions with superimposed atelectasis versus pneumonia .,,,,,,,,-1,-1,,1,,,
bilateral pleural effusions with superimposed consolidation and / or ground-glass opacities .,,,,,-1,,1,,,,1,,,
"bilateral pleural effusions with superimposed edema , ground-glass opacities , and / or consolidation .",,,,,1,-1,-1,,,,1,,,
bilateral pleural effusions with superimposed edema or ground-glass opacity .,,,,,-1,-1,,,,,1,,,
bilateral pleural effusions with superimposed edema versus ground-glass opacity .,,,,,-1,-1,,,,,1,,,
bilateral pleural effusions with superimposed edema versus pneumonia .,,,,,,-1,,-1,,,1,,,
"bilateral pleural effusions with superimposed ground-glass opacities , consolidation , or edema .",,,,,1,-1,-1,,,,-1,,,
bilateral pleural effusions with superimposed ground-glass opacities or edema .,,,,,1,-1,,,,,-1,,,
bilateral pleural space drainage catheters are present .,1,,,,,,,,,,,,,1
bilateral pleural space drainage tubes are present .,1,,,,,,,,,,,,,1
bilateral pleural-parenchymal opacities .,,,,,1,,,,,,,,,
bilateral probable edema .,,,,,,-1,,,,,,,,
bilateral pulmonary hyperinflation is present .,,,,,,,,,,,,,,
"bilateral pulmonary opacities are present , consistent with lung edema .",,,,,1,1,,,,,,,,
bilateral septal line thickening compatible with interstitial edema .,,,,,,1,,,,,,,,1
bilateral skin folds project over the mid and lower hemithoraces .,1,,,,,,,,,,,,,
bilateral skin folds without definite pneumothorax .,1,,,,,,,,,0,,,,
bilateral small pleural effusions are likely present .,,,,,,,,,,,1,,,
bilateral small pleural effusions are present .,,,,,,,,,,,1,,,
"bilateral soft tissue emphysema extending along the lateral chest walls and inferior neck , of uncertain etiology .",,,,,,,,,,,,,,
bilateral suprahilar consolidation versus pulmonary edema or airway wall thickening .,,,,,-1,-1,-1,,,,,,,
bilateral thoracostomy tubes .,1,,,,,,,,,,,,,1
bilateral thoracostomy tubes are present .,1,,,,,,,,,,,,,1
bilateral upper lobe airway wall thickening and patchy mucus plugging versus consolidation .,,,,,-1,,-1,,,,,,,
blunting of the lateral costophrenic angles compatible with small pleural effusions or pleural thickening .,,,,,,,,,,,-1,-1,,
blunting of the lateral costophrenic angles may represent pleural scarring or pleural fluid .,,,,,,,,,,,-1,-1,,
blunting of the lateral costophrenic angles may represent small pleural effusions or pleural thickening .,,,,,,,,,,,-1,-1,,
blunting of the lateral costophrenic angles may represent trace pleural effusions or atelectasis .,,,,,,,,,-1,,-1,,,
blunting of the left lateral costophrenic angle .,,,,,,,,,,,,,,
blunting of the left lateral costophrenic angle may represent pleural scarring or pleural effusion .,,,,,,,,,,,-1,-1,,
blunting of the left lateral costophrenic angle may represent small pleural effusion or pleural thickening-scarring .,,,,,-1,,,,,,-1,-1,,
blunting of the left pectoral costophrenic sulcus is consistent with a small amount of pleural thickening .,,,,,,,,,,,,1,,
blunting of the right lateral costophrenic angle may represent pleural effusion or pleural scarring .,,,,,,,,,,,-1,-1,,
bone anchor at the left glenohumeral joint .,1,,,,,,,,,,,,,
bone anchors are present .,1,,,,,,,,,,,,,
bone anchors at the right glenohumeral joint .,1,,,,,,,,,,,,,
bone anchors in the right humeral head .,1,,,,,,,,,,,,,
borderline central pulmonary artery enlargement .,1,,,,,,,,,,,,,
borderline enlarged cardiac silhouette .,,,1,,,,,,,,,,,
borderline enlargement of the main pulmonary artery .,1,,,,,,,,,,,,,
borderline mild airway wall thickening .,,,,,1,,,,,,,,,
"borderline mild peribronchial cuffing , possible pulmonary edema .",,,,,,-1,,,,,,,,
"borderline mild peribronchial cuffing , possible pulmonary edema versus bronchial inflammation .",,,,,,-1,,,,,,,,
borderline mild pulmonary edema .,,,,,,1,,,,,,,,
borderline mild pulmonary edema versus airway wall thickening .,,,,,-1,-1,,,,,,,,
broken sternotomy wires are present .,1,,,,,,,,,,,,,
calcification is present in a small left para-aortic lymph node .,,,,,,,,,,,,,,
calcification is present in a small left pleural aortic lymph node .,,,,,,,,,,,,,,
calcification is present in a small left subaortic mediastinal lymph node .,,,,,,,,,,,,,,
calcification of the aortic arch .,,,,,,,,,,,,,,
calcifications are present in mitral valve annulus .,,,,,,,,,,,,,,1
calcifications are present in small left hilar / subaortic mediastinal lymph nodes .,,,,,,,,,,,,,,
calcifications are present in small left hilar and mediastinal lymph nodes .,,,,,,,,,,,,,,
"calcified bilateral breast implants are present , limiting evaluation of the lower lobes .",,,,,,,,,,,,,,
calcified granulomas are present in the left upper lobe .,,,,,,,,,,,,,,
calcified granulomas are present in the right lung apex .,,,,,,,,,,,,,,
calcified hilar lymph nodes are seen .,,,,,,,,,,,,,,
calcified left hilar and right paratracheal lymph nodes are present .,,,,,,,,,,,,,,
calcified left hilar lymph nodes .,,,,,,,,,,,,,,
"calcified mediastinal lymph nodes are seen , compatible with old granulomatous disease .",,,,,,,,,,,,,,
"calcified nodules are seen , compatible with old granulomatous disease .",,,,,,,,,,,,,,
cardiac and mediastinal contours are normal .,1,0,,,,,,,,,,,,
cardiac and mediastinal contours are obscured .,,1,,,,,,,,,,,,
cardiac and mediastinal silhouette are normal .,1,0,,,,,,,,,,,,
cardiac contour is normal in size .,1,0,0,,,,,,,,,,,
cardiac contour near the upper limits of normal in size .,1,0,0,,,,,,,,,,,
cardiac contours are normal .,1,0,0,,,,,,,,,,,
cardiac contours normal in size .,1,0,0,,,,,,,,,,,
cardiac contours obscured .,,-1,-1,,,,,,,,,,,
cardiac contours obscured by pulmonary opacities .,,-1,-1,,-1,,,,,,,,,
cardiac mediastinal contours are normal .,1,0,,,,,,,,,,,,
cardiac pacemaker is present .,1,,,,,,,,,,,,,1
"cardiac pacer / aicd seen with leads in the right atrium , right ventricle and coronary sinus .",1,,,,,,,,,,,,,1
"cardiac pacer and aicd are noted with leads in the right atrium , right ventricle , and coronary sinus .",1,,,,,,,,,,,,,1
cardiac pacer is noted with leads in the right ventricle and coronary sinus .,1,,,,,,,,,,,,,1
cardiac pacer is seen with leads in the right ventricle and coronary sinus .,1,,,,,,,,,,,,,1
cardiac pacer noted .,1,,,,,,,,,,,,,1
cardiac pacer noted with leads in the right atrium and right ventricle .,1,,,,,,,,,,,,,1
cardiac pacer seen although the leads are not well visualized .,1,,,,,,,,,,,,,1
cardiac silhouette above normal limits in size .,1,,0,,,,,,,,,,,
cardiac silhouette appears enlarged .,,,1,,,,,,,,,,,
cardiac silhouette appears enlarged but gas within overlying bowel limits evaluation .,,,1,,,,,,,,,,,
cardiac silhouette appears enlarged but is not completely imaged .,,,1,,,,,,,,,,,
cardiac silhouette appears mildly enlarged .,,,1,,,,,,,,,,,
cardiac silhouette at the upper limits of normal in size .,1,,0,,,,,,,,,,,
cardiac silhouette cannot be assessed .,,,1,,,,,,,,,,,
cardiac silhouette enlarged .,,,1,,,,,,,,,,,
cardiac silhouette in the upper limits of normal in size .,1,,0,,,,,,,,,,,
cardiac silhouette in the upper limits of normal in size given low lung volumes .,1,,0,,,,,,,,,,,
cardiac silhouette in the upper limits of normal in size given technique .,1,,0,,,,,,,,,,,
cardiac silhouette is borderline enlarged .,,,1,,,,,,,,,,,
cardiac silhouette is borderline enlarged for portable technique .,,,1,,,,,,,,,,,
"cardiac silhouette is enlarged , not completely imaged .",,,1,,,,,,,,,,,
cardiac silhouette is enlarged .,,,1,,,,,,,,,,,
cardiac silhouette is largely obscured .,,,-1,,,,,,,,,,,
cardiac silhouette is largely obscured by parenchymal opacities .,,,-1,,-1,,,,,,,,,
